Value,Electorate
1,Auckland Central
2,Bay of Plenty
3,Botany
4,Christchurch Central
5,Christchurch East
6,Clutha-Southland
7,Coromandel
8,Dunedin
9,Dunedin South
10,East Coast
11,East Coast Bays
12,Epsom
13,Hamilton East
14,Hamilton West
15,Helensville
16,Hunua
17,Hutt South
18,Ilam
19,Invercargill
20,Kaikoura
21,Kelston
22,Mana
23,Mangere
24,Manukau East
25,Manurewa
26,Maungakiekie
27,Mt Albert
28,Mt Roskill
29,Napier
30,Nelson
31,New Lynn
32,New Plymouth
33,North Shore
34,Northcote
35,Northland
36,Ohariu
37,Otaki
38,Pakuranga
39,Palmerston North
40,Papakura
41,Port Hills
42,Rangitata
43,Rangitikei
44,Remutaka
45,Rodney
46,Rongotai
47,Rotorua
48,Selwyn
49,Tamaki
50,Taranaki-King Country
51,Taupo
52,Tauranga
53,Te Atatu
54,Tukituki
55,Upper Harbour
56,Waikato
57,Waimakariri
58,Wairarapa
59,Waitaki
60,Wellington Central
61,West Coast-Tasman
62,Whanganui
63,Whangarei
64,Wigram
65,Hauraki-Waikato
66,Ikaroa-Rawhiti
67,Tamaki Makaurau
68,Te Tai Hauauru
69,Te Tai Tokerau
70,Te Tai Tonga
71,Waiariki
